"","id","average_depth","anomaly_score","status"
"1",1,7.95,0.58,"Normal"
"2",2,7.98,0.58,"Normal"
"3",3,7.59,0.6,"Normal"
"4",4,7.76,0.59,"Normal"
"5",5,8,0.58,"Normal"
"6",6,7.94,0.58,"Normal"
"7",7,6.84,0.63,"Anomalia"
"8",8,7.91,0.59,"Normal"
"9",9,7.83,0.59,"Normal"
"10",10,7.14,0.62,"Normal"
"11",11,7.74,0.59,"Normal"
"12",12,7.74,0.59,"Normal"
"13",13,7.62,0.6,"Normal"
"14",14,7.85,0.59,"Normal"
"15",15,7.96,0.58,"Normal"
"16",16,7.83,0.59,"Normal"
"17",17,7.84,0.59,"Normal"
"18",18,7.86,0.59,"Normal"
"19",19,7.8,0.59,"Normal"
"20",20,7.72,0.59,"Normal"
"21",21,7.89,0.59,"Normal"
"22",22,7.93,0.58,"Normal"
"23",23,7.62,0.6,"Normal"
"24",24,7.92,0.59,"Normal"
"25",25,7.98,0.58,"Normal"
"26",26,7.94,0.58,"Normal"
"27",27,7.7,0.59,"Normal"
"28",28,7.71,0.59,"Normal"
"29",29,7.91,0.59,"Normal"
"30",30,7.82,0.59,"Normal"
"31",31,7.5,0.6,"Normal"
"32",32,7.45,0.6,"Normal"
"33",33,7.78,0.59,"Normal"
"34",34,7.94,0.58,"Normal"
"35",35,7.92,0.59,"Normal"
"36",36,7.72,0.59,"Normal"
"37",37,7.84,0.59,"Normal"
"38",38,7.73,0.59,"Normal"
"39",39,7.79,0.59,"Normal"
"40",40,7.79,0.59,"Normal"
"41",41,7.84,0.59,"Normal"
"42",42,7.85,0.59,"Normal"
"43",43,7.95,0.58,"Normal"
"44",44,7.72,0.59,"Normal"
"45",45,7.11,0.62,"Normal"
"46",46,7.4,0.61,"Normal"
"47",47,7.93,0.58,"Normal"
"48",48,6.66,0.64,"Anomalia"
"49",49,7.95,0.58,"Normal"
"50",50,7.81,0.59,"Normal"
"51",51,7.81,0.59,"Normal"
"52",52,7.98,0.58,"Normal"
"53",53,7.73,0.59,"Normal"
"54",54,7.94,0.58,"Normal"
"55",55,7.95,0.58,"Normal"
"56",56,7.94,0.58,"Normal"
"57",57,6.7,0.64,"Anomalia"
"58",58,7.98,0.58,"Normal"
"59",59,7.82,0.59,"Normal"
"60",60,7.69,0.59,"Normal"
"61",61,7.47,0.6,"Normal"
